   0.00   1.00   1.70 -0.065    0.0616   14.4705   17.5367    9.1827    5.0000
   0.06   1.00   1.70 -0.046    0.0551   11.4355   17.5367    7.8564    5.0000
   0.13   1.00   1.70 -0.027    0.0539   10.1048   17.5367    7.3833    5.0000
   0.19   1.00   1.70 -0.008    0.0582   10.4782   17.5367    7.7633    5.0000
   0.25   1.00   1.70  0.011    0.0678   12.5559   17.5367    8.9964    5.0000
   0.38   1.00   1.70  0.049    0.1032   21.8237   17.5367   14.0220    5.0000
   0.00   1.00   1.70 -0.065    0.0616   14.4705   17.5367    9.1827   10.0000
   0.13   1.00   1.70 -0.032    0.0535   10.5505   17.5367    7.5825   10.0000
   0.19   1.00   1.70 -0.015    0.0538   10.0602   17.5367    7.5017   10.0000
   0.25   1.00   1.70  0.001    0.0569   10.5498   17.5367    7.9006   10.0000
   0.38   1.00   1.70  0.034    0.0720   14.4684   17.5367   10.1368   10.0000
   0.50   1.00   1.70  0.067    0.0987   22.3058   17.5367   14.2909   10.0000
   0.00   1.00   1.70 -0.065    0.0616   14.4705   17.5367    9.1827   15.0000
   0.13   1.00   1.70 -0.034    0.0539   10.8752   17.5367    7.7406   15.0000
   0.25   1.00   1.70 -0.002    0.0538    9.9621   17.5367    7.6201   15.0000
   0.38   1.00   1.70  0.029    0.0615   11.7315   17.5367    8.8212   15.0000
   0.50   1.00   1.70  0.060    0.0770   16.1825   17.5367   11.3436   15.0000
   0.63   1.00   1.70  0.091    0.1002   23.3173   17.5367   15.1883   15.0000
   0.00   1.00   1.70 -0.065    0.0616   14.4705   17.5367    9.1827   20.0000
   0.13   1.00   1.70 -0.037    0.0545   11.2357   17.5367    7.9093   20.0000
   0.25   1.00   1.70 -0.009    0.0525    9.8059   17.5367    7.5308   20.0000
   0.38   1.00   1.70  0.019    0.0556   10.1811   17.5367    8.0472   20.0000
   0.50   1.00   1.70  0.047    0.0639   12.3610   17.5367    9.4584   20.0000
   0.63   1.00   1.70  0.075    0.0774   16.3456   17.5367   11.7645   20.0000
   0.75   1.00   1.70  0.103    0.0961   22.1364   17.5367   14.9659   20.0000
   0.00   0.30   1.70 -0.056    0.0587   13.0279   17.5367    8.5131    5.0000
   0.10   0.30   1.70 -0.041    0.0550   11.0348   17.5367    7.6693    5.0000
   0.21   0.30   1.70 -0.026    0.0549   10.1580   17.5367    7.3843    5.0000
   0.31   0.30   1.70 -0.010    0.0583   10.3975   17.5367    7.6581    5.0000
   0.52   0.30   1.70  0.020    0.0756   14.2254   17.5367    9.8822    5.0000
   0.73   0.30   1.70  0.051    0.1071   22.5184   17.5367   14.3416    5.0000
   0.00   0.30   1.70 -0.056    0.0587   13.0279   17.5367    8.5131   10.0000
   0.10   0.30   1.70 -0.043    0.0553   11.3780   17.5367    7.8311   10.0000
   0.31   0.30   1.70 -0.016    0.0542   10.0036   17.5367    7.4093   10.0000
   0.52   0.30   1.70  0.010    0.0607   11.1964   17.5367    8.2439   10.0000
   0.73   0.30   1.70  0.037    0.0748   14.9564   17.5367   10.3350   10.0000
   0.89   0.30   1.70  0.057    0.0904   19.4607   17.5367   12.7276   10.0000
   0.00   0.30   1.70 -0.056    0.0587   13.0279   17.5367    8.5131   15.0000
   0.10   0.30   1.70 -0.044    0.0556   11.5724   17.5367    7.9213   15.0000
   0.31   0.30   1.70 -0.018    0.0532    9.9794   17.5367    7.3870   15.0000
   0.52   0.30   1.70  0.007    0.0559   10.1432   17.5367    7.7184   15.0000
   0.73   0.30   1.70  0.032    0.0637   12.0639   17.5367    8.9154   15.0000
   0.89   0.30   1.70  0.054    0.0737   14.9303   17.5367   10.5417   15.0000
   0.89   0.30   1.70  0.040    0.0624   11.7066   17.5367    8.9178   20.0000
   0.68   0.30   1.70  0.017    0.0561   10.0963   17.5367    7.8700   20.0000
   0.47   0.30   1.70 -0.005    0.0531    9.6682   17.5367    7.4085   20.0000
   0.26   0.30   1.70 -0.028    0.0535   10.4225   17.5367    7.5331   20.0000
   0.13   0.30   1.70 -0.043    0.0555   11.5467   17.5367    7.9284   20.0000
   0.00   0.30   1.70 -0.056    0.0587   13.0279   17.5367    8.5131   20.0000
   0.00   0.01   1.00  0.289    0.1949   40.1704   39.0527   36.3946   20.0000
   0.00   0.02   1.00  0.284    0.1931   39.7756   39.0527   36.2814   20.0000
   0.00   0.03   1.00  0.280    0.1918   39.5135   39.0527   36.2193   20.0000
   0.00   0.04   1.00  0.277    0.1909   39.3415   39.0527   36.1897   20.0000
   0.00   0.06   1.00  0.274    0.1903   39.2301   39.0527   36.1803   20.0000
   0.00   0.10   1.00  0.271    0.1899   39.1593   39.0527   36.1831   20.0000
   0.00   0.16   1.00  0.270    0.1896   39.1157   39.0527   36.1927   20.0000
   0.00   0.25   1.00  0.268    0.1894   39.0898   39.0527   36.2057   20.0000
   0.00   0.40   1.00  0.267    0.1893   39.0755   39.0527   36.2201   20.0000
   0.00   0.64   1.00  0.265    0.1892   39.0687   39.0527   36.2344   20.0000
   0.00   1.01   1.00  0.264    0.1891   39.0664   39.0527   36.2479   20.0000
   0.00   0.01   1.17  0.302    0.2017   41.7038   39.0527   36.9215   20.0000
   0.00   0.02   1.17  0.295    0.1978   40.8055   39.0527   36.6015   20.0000
   0.00   0.03   1.17  0.289    0.1950   40.2006   39.0527   36.4038   20.0000
   0.00   0.04   1.17  0.284    0.1932   39.7957   39.0527   36.2867   20.0000
   0.00   0.06   1.17  0.280    0.1919   39.5268   39.0527   36.2221   20.0000
   0.00   0.10   1.17  0.277    0.1910   39.3501   39.0527   36.1908   20.0000
   0.00   0.16   1.17  0.274    0.1903   39.2356   39.0527   36.1805   20.0000
