# Table 3 Detailed positions, widths and lengths of mirror plates
#
#
#Row01          L (m)     RH (m)     RM (m)       RP (m)       Width (m)
   15        0.083388   0.329566   0.331292   0.331868    0.050159
   16        0.083388   0.330337   0.332068   0.332644    0.050159
   17        0.083388   0.331108   0.332843   0.333421    0.050159
   18        0.083388   0.331879   0.333617   0.334197    0.050159
   19        0.083388    0.33265   0.334393   0.334973    0.050159
   20        0.083388   0.333421   0.335168    0.33575    0.050159
   21        0.083388   0.334192   0.335942   0.336526    0.050159
   22        0.083388   0.334963   0.336718   0.337302    0.050159
   23        0.083388   0.335734   0.337493   0.338079    0.050159
     24      0.083388   0.336505   0.338267   0.338855    0.050159
     25      0.083388   0.337276   0.339042   0.339631    0.050159
     26      0.083388   0.338047   0.339818   0.340408    0.050159
     27      0.083388   0.338818   0.340593   0.341184    0.050159
     28      0.083388   0.339589   0.341367    0.34196    0.050159
     29      0.083388    0.34036   0.342143   0.342737    0.050159
     30      0.083388   0.341131   0.342918   0.343513    0.050159
     31      0.083388   0.341902   0.343692   0.344289    0.050159
     32      0.083388   0.342673   0.344468   0.345066    0.050159
     33      0.083388   0.343444   0.345243   0.345842    0.050159
     34      0.083388   0.344215   0.346017   0.346618    0.050159
     35      0.083388   0.346528   0.348343   0.348947    0.050159
     36      0.083388   0.347299   0.349118   0.349724    0.050159
     37      0.083388    0.34807   0.349892     0.3505    0.050159
     38      0.083388   0.348841   0.350668   0.351277    0.050159
     39      0.083388   0.349612   0.351443   0.352053    0.050159
     40      0.083388   0.350382   0.352217   0.352829    0.050159
     41      0.083388   0.351153   0.352993   0.353606    0.050159
     42      0.083388   0.351924   0.353768   0.354382    0.050159
     43      0.083388   0.352695   0.354542   0.355158    0.050159
     44      0.083388   0.353466   0.355317   0.355935    0.050159
     45      0.083388   0.354237   0.356093   0.356711    0.050159
     46      0.083388   0.355008   0.356867   0.357487    0.050159
     47      0.083388   0.355779   0.357642   0.358264    0.050159
     48      0.083388    0.35655   0.358418    0.35904    0.050159
     49      0.083388   0.357321   0.359193   0.359816    0.050159
     50      0.083388   0.358092   0.359967   0.360593    0.050159
     51      0.083388   0.358863   0.360743   0.361369    0.050159
     52      0.083388   0.359634   0.361518   0.362145    0.050159
     53      0.083388   0.360405   0.362292   0.362922    0.050159
     54      0.083388   0.361176   0.363068   0.363698    0.050159
     55      0.083388   0.361947   0.363843   0.364474    0.050159
     56      0.083388   0.362718   0.364617   0.365251    0.050159
     57      0.083388   0.363489   0.365393   0.366027    0.050159
     58      0.083388    0.36426   0.366168   0.366803    0.050159
     59      0.083388   0.365031   0.366943    0.36758    0.050159
     60      0.083388   0.365802   0.367717   0.368356    0.050159
     61      0.083388   0.366573   0.368493   0.369132    0.050159
     62      0.083388   0.367344   0.369268   0.369909    0.050159
     63      0.083388   0.368115   0.370042   0.370685    0.050159
     64      0.083388   0.368886   0.370818   0.371462    0.050159
     65      0.083388   0.369657   0.371593   0.372238    0.050159
     66      0.083388   0.370428   0.372367   0.373014    0.050159
     67      0.083388   0.371199   0.373143   0.373791    0.050159
     68      0.083388    0.37197   0.373918   0.374567    0.050159


#Row03          L (m)     RH (m)     RM (m)     RP (m)    Width (m)
    1        0.070762   0.380946   0.382638   0.383201    0.049839
      2      0.070762   0.381718   0.383412   0.383978   0.049839
      3      0.070762   0.382489   0.384188   0.384754   0.049839
      4      0.070762   0.383261   0.384963    0.38553   0.049839
      5      0.070762   0.384032   0.385737   0.386306   0.049839
      6      0.070762   0.384804   0.386513   0.387082   0.049839
      7      0.070762   0.385575   0.387288   0.387858   0.049839
      8      0.070762   0.386347   0.388062   0.388634   0.049839
      9      0.070762   0.387119   0.388838   0.389411   0.049839
     10      0.070762    0.38789   0.389613   0.390187   0.049839
     11      0.070762   0.388662   0.390388   0.390963   0.049839
     12      0.070762   0.389433   0.391162   0.391739   0.049839
     13      0.070762   0.390205   0.391938   0.392515   0.049839
     14      0.070762   0.390976   0.392713   0.393291   0.049839
     15      0.070762   0.391748   0.393487   0.394067   0.049839
     16      0.070762    0.39252   0.394263   0.394844   0.049839
     17      0.070762   0.393291   0.395038    0.39562   0.049839
     18      0.070762   0.394063   0.395812   0.396396   0.049839
     19      0.070762   0.394834   0.396588   0.397172   0.049839
     20      0.070762   0.395606   0.397363   0.397948   0.049839
     21      0.070762   0.396377   0.398137   0.398724   0.049839
     22      0.070762   0.397149   0.398913     0.3995   0.049839
     23      0.070762   0.397921   0.399688   0.400277   0.049839
     24      0.070762   0.398692   0.400462   0.401053   0.049839
     25      0.070762   0.399464   0.401238   0.401829   0.049839
     26      0.070762   0.400235   0.402013   0.402605   0.049839
     27      0.070762   0.401007   0.402788   0.403381   0.049839
     28      0.070762   0.401779   0.403563   0.404157   0.049839
     29      0.070762    0.40255   0.404338   0.404933   0.049839
     30      0.070762   0.403322   0.405113    0.40571   0.049839
     31      0.070762   0.404093   0.405887   0.406486   0.049839
     32      0.070762   0.404865   0.406663   0.407262   0.049839
     33      0.070762   0.405636   0.407438   0.408038   0.049839
     34      0.070762   0.406408   0.408212   0.408814   0.049839
     35      0.070762   0.408723   0.410538   0.411142   0.049839
     36      0.070762   0.409494   0.411313   0.411919   0.049839
     37      0.070762   0.410266   0.412087   0.412695   0.049839
     38      0.070762   0.411037   0.412863   0.413471   0.049839
     39      0.070762   0.411809   0.413638   0.414247   0.049839
     40      0.070762   0.412581   0.414412   0.415023   0.049839
     41      0.070762   0.413352   0.415188   0.415799   0.049839
     42      0.070762   0.414124   0.415963   0.416575   0.049839
     43      0.070762   0.414895   0.416737   0.417352   0.049839
     44      0.070762   0.415667   0.417513   0.418128   0.049839
     45      0.070762   0.416439   0.418288   0.418904   0.049839
     46      0.070762    0.41721   0.419062    0.41968   0.049839
     47      0.070762   0.417982   0.419837   0.420456   0.049839
     48      0.070762   0.418753   0.420613   0.421232   0.049839
     49      0.070762   0.419525   0.421388   0.422008   0.049839
     50      0.070762   0.420296   0.422162   0.422785   0.049839
     51      0.070762   0.421068   0.422938   0.423561    0.049839
     52      0.070762    0.42184   0.423713   0.424337    0.049839
     53      0.070762   0.422611   0.424487   0.425113    0.049839
     54      0.070762   0.423383   0.425263   0.425889    0.049839
     55      0.070762   0.424154   0.426038   0.426665    0.049839
     56      0.070762   0.424926   0.426812   0.427441    0.049839
     57      0.070762   0.425697   0.427588   0.428218    0.049839
     58      0.070762   0.426469   0.428363   0.428994    0.049839
     59      0.070762   0.427241   0.429138    0.42977    0.049839
     60      0.070762   0.428012   0.429913   0.430546    0.049839
     61      0.070762   0.428784   0.430688   0.431322    0.049839
     62      0.070762   0.429555   0.431463   0.432098    0.049839
     63      0.070762   0.430327   0.432238   0.432874    0.049839
     64      0.070762   0.431099   0.433013   0.433651    0.049839
     65      0.070762    0.43187   0.433788   0.434427    0.049839
     66      0.070762   0.432642   0.434562   0.435203    0.049839
     67      0.070762   0.433413   0.435338   0.435979    0.049839
     68      0.070762   0.434185   0.436113   0.436755    0.049839


#Row04          L (m)     RH (m)     RM (m)     RP (m)    Width (m)
    1         0.06146   0.443125   0.444833   0.445402    0.049614
    2         0.06146   0.443897   0.445607   0.446178    0.049614
    3         0.06146   0.444669   0.446383   0.446954    0.049614
    4         0.06146   0.445441   0.447158    0.44773    0.049614
    5         0.06146   0.446213   0.447932   0.448506    0.049614
    6         0.06146   0.446985   0.448708   0.449282    0.049614
    7         0.06146   0.447757   0.449483   0.450058    0.049614
    8         0.06146   0.448529   0.450257   0.450834    0.049614
    9         0.06146   0.449301   0.451033    0.45161    0.049614
   10         0.06146   0.450073   0.451808   0.452386    0.049614
   11         0.06146   0.450845   0.452583   0.453162    0.049614
   12         0.06146   0.451617   0.453358   0.453938    0.049614
   13         0.06146   0.452389   0.454133   0.454714    0.049614
   14         0.06146   0.453161   0.454908    0.45549    0.049614
   15         0.06146   0.453933   0.455683   0.456266    0.049614
   16         0.06146   0.454705   0.456458   0.457042    0.049614
   17         0.06146   0.455477   0.457233   0.457818    0.049614
   18         0.06146   0.456249   0.458007   0.458594    0.049614
   19         0.06146   0.457021   0.458783    0.45937    0.049614
   20         0.06146   0.457793   0.459558   0.460146    0.049614
   21         0.06146   0.458565   0.460332   0.460922    0.049614
   22         0.06146   0.459337   0.461108   0.461698    0.049614
   23         0.06146   0.460109   0.461883   0.462474    0.049614
   24         0.06146   0.460881   0.462657    0.46325    0.049614
   25         0.06146   0.461653   0.463433   0.464026    0.049614
   26         0.06146   0.462426   0.464208   0.464802    0.049614
   27         0.06146   0.463198   0.464983   0.465578    0.049614
   28         0.06146    0.46397   0.465758   0.466354    0.049614
     29       0.06146   0.464742   0.466533    0.46713    0.049614
     30       0.06146   0.465514   0.467308   0.467906    0.049614
     31       0.06146   0.466286   0.468083   0.468682    0.049614
     32       0.06146   0.467058   0.468858   0.469458    0.049614
     33       0.06146    0.46783   0.469633   0.470234    0.049614
     34       0.06146   0.468602   0.470407   0.471009    0.049614
     35       0.06146   0.470918   0.472733   0.473337    0.049614
     36       0.06146    0.47169   0.473508   0.474113    0.049614
     37       0.06146   0.472462   0.474282   0.474889    0.049614
     38       0.06146   0.473234   0.475058   0.475665    0.049614
     39       0.06146   0.474006   0.475833   0.476441    0.049614
     40       0.06146   0.474778   0.476607   0.477217    0.049614
     41       0.06146    0.47555   0.477383   0.477993    0.049614
     42       0.06146   0.476322   0.478158   0.478769    0.049614
     43       0.06146   0.477094   0.478932   0.479545    0.049614
     44       0.06146   0.477866   0.479708   0.480321    0.049614
     45       0.06146   0.478638   0.480483   0.481097    0.049614
     46       0.06146    0.47941   0.481257   0.481873    0.049614
     47       0.06146   0.480182   0.482033   0.482649    0.049614
     48       0.06146   0.480954   0.482808   0.483425    0.049614
     49       0.06146   0.481726   0.483583   0.484201    0.049614
     50       0.06146   0.482498   0.484358   0.484977    0.049614
     51       0.06146    0.48327   0.485133   0.485753    0.049614
     52       0.06146   0.484042   0.485908   0.486529    0.049614
     53       0.06146   0.484814   0.486682   0.487305    0.049614
     54       0.06146   0.485586   0.487458   0.488081    0.049614
     55       0.06146   0.486358   0.488233   0.488857    0.049614
     56       0.06146    0.48713   0.489007   0.489633    0.049614
     57       0.06146   0.487902   0.489783   0.490409    0.049614
     58       0.06146   0.488675   0.490558   0.491185    0.049614
     59       0.06146   0.489447   0.491333   0.491961    0.049614
     60       0.06146   0.490219   0.492108   0.492737    0.049614
     61       0.06146   0.490991   0.492883   0.493513    0.049614
     62       0.06146   0.491763   0.493658   0.494289    0.049614
     63       0.06146   0.492535   0.494433   0.495065    0.049614
     64       0.06146   0.493307   0.495208   0.495841    0.049614
     65       0.06146   0.494079   0.495983   0.496617    0.049614
     66       0.06146   0.494851   0.496758   0.497393    0.049614
     67       0.06146   0.495623   0.497533   0.498169    0.049614
     68       0.06146   0.496395   0.498308   0.498945    0.049614


#Row05          L (m)     RH (m)     RM (m)     RP (m)    Width (m)
    1        0.054321   0.505307   0.507027   0.507601    0.089363
    2        0.054321    0.50608   0.507803   0.508377    0.089363
    3        0.054321   0.506852   0.508577   0.509153    0.089363
    4        0.054321   0.507624   0.509352   0.509929    0.089363
    5        0.054321   0.508397   0.510127   0.510704    0.089363
    6        0.054321   0.509169   0.510902    0.51148    0.089363
      7      0.054321   0.509942   0.511677   0.512256   0.089363
      8      0.054321   0.510714   0.512452   0.513032   0.089363
      9      0.054321   0.511486   0.513227   0.513808   0.089363
     10      0.054321   0.512259   0.514002   0.514584   0.089363
     11      0.054321   0.513031   0.514777    0.51536   0.089363
     12      0.054321   0.513804   0.515552   0.516136   0.089363
     13      0.054321   0.514576   0.516327   0.516911   0.089363
     14      0.054321   0.515348   0.517102   0.517687   0.089363
     15      0.054321   0.516121   0.517877   0.518463   0.089363
     16      0.054321   0.516893   0.518652   0.519239   0.089363
     17      0.054321   0.517665   0.519427   0.520015   0.089363
     18      0.054321   0.518438   0.520202   0.520791   0.089363
     19      0.054321    0.51921   0.520978   0.521567   0.089363
     20      0.054321   0.519983   0.521752   0.522343   0.089363
     21      0.054321   0.520755   0.522527   0.523118   0.089363
     22      0.054321   0.521527   0.523303   0.523894   0.089363
     23      0.054321     0.5223   0.524077    0.52467   0.089363
     24      0.054321   0.523072   0.524852   0.525446   0.089363
     25      0.054321   0.523844   0.525628   0.526222   0.089363
     26      0.054321   0.524617   0.526402   0.526998   0.089363
     27      0.054321   0.525389   0.527177   0.527774   0.089363
     28      0.054321   0.526162   0.527953    0.52855   0.089363
     29      0.054321   0.526934   0.528727   0.529325   0.089363
     30      0.054321   0.527706   0.529502   0.530101   0.089363
     31      0.054321   0.528479   0.530278   0.530877   0.089363
     32      0.054321   0.529251   0.531052   0.531653   0.089363
     33      0.054321   0.530023   0.531827   0.532429   0.089363
     34      0.054321   0.530796   0.532603   0.533205   0.089363
     35      0.054321   0.533113   0.534927   0.535532   0.089363
     36      0.054321   0.533885   0.535702   0.536308   0.089363
     37      0.054321   0.534658   0.536478   0.537084   0.089363
     38      0.054321    0.53543   0.537252    0.53786   0.089363
     39      0.054321   0.536202   0.538027   0.538636   0.089363
     40      0.054321   0.536975   0.538802   0.539412   0.089363
     41      0.054321   0.537747   0.539577   0.540188   0.089363
     42      0.054321    0.53852   0.540352   0.540964   0.089363
     43      0.054321   0.539292   0.541127   0.541739   0.089363
     44      0.054321   0.540064   0.541902   0.542515   0.089363
     45      0.054321   0.540837   0.542677   0.543291   0.089363
     46      0.054321   0.541609   0.543452   0.544067   0.089363
     47      0.054321   0.542381   0.544227   0.544843   0.089363
     48      0.054321   0.543154   0.545002   0.545619   0.089363
     49      0.054321   0.543926   0.545777   0.546395   0.089363
     50      0.054321   0.544699   0.546552   0.547171   0.089363
     51      0.054321   0.545471   0.547328   0.547946   0.089363
     52      0.054321   0.546243   0.548102   0.548722   0.089363
     53      0.054321   0.547016   0.548877   0.549498   0.089363
     54      0.054321   0.547788   0.549652   0.550274   0.089363
     55      0.054321    0.54856   0.550427    0.55105   0.089363
     56      0.054321   0.549333   0.551202   0.551826    0.089363
     57      0.054321   0.550105   0.551978   0.552602    0.089363
     58      0.054321   0.550878   0.552752   0.553378    0.089363
     59      0.054321    0.55165   0.553527   0.554153    0.089363
     60      0.054321   0.552422   0.554303   0.554929    0.089363
     61      0.054321   0.553195   0.555077   0.555705    0.089363
     62      0.054321   0.553967   0.555852   0.556481    0.089363
     63      0.054321   0.554739   0.556628   0.557257    0.089363
     64      0.054321   0.555512   0.557402   0.558033    0.089363
     65      0.054321   0.556284   0.558177   0.558809    0.089363
     66      0.054321   0.557057   0.558953   0.559585    0.089363
     67      0.054321   0.557829   0.559727    0.56036    0.089363
     68      0.054321   0.558601   0.560502   0.561136    0.089363


#Row06          L (m)     RH (m)     RM (m)     RP (m)    Width (m)
    1        0.048671   0.567493   0.569222   0.569799    0.082476
    2        0.048671   0.568265   0.569998   0.570575    0.082476
    3        0.048671   0.569038   0.570772   0.571351    0.082476
    4        0.048671   0.569811   0.571547   0.572127    0.082476
    5        0.048671   0.570583   0.572323   0.572902    0.082476
    6        0.048671   0.571356   0.573097   0.573678    0.082476
    7        0.048671   0.572128   0.573872   0.574454    0.082476
    8        0.048671   0.572901   0.574648    0.57523    0.082476
    9        0.048671   0.573674   0.575422   0.576005    0.082476
   10        0.048671   0.574446   0.576197   0.576781    0.082476
   11        0.048671   0.575219   0.576972   0.577557    0.082476
   12        0.048671   0.575992   0.577747   0.578333    0.082476
   13        0.048671   0.576764   0.578522   0.579109    0.082476
   14        0.048671   0.577537   0.579297   0.579884    0.082476
   15        0.048671    0.57831   0.580072    0.58066    0.082476
   16        0.048671   0.579082   0.580847   0.581436    0.082476
   17        0.048671   0.579855   0.581622   0.582212    0.082476
   18        0.048671   0.580628   0.582397   0.582988    0.082476
   19        0.048671     0.5814   0.583173   0.583763    0.082476
   20        0.048671   0.582173   0.583947   0.584539    0.082476
   21        0.048671   0.582946   0.584722   0.585315    0.082476
   22        0.048671   0.583718   0.585498   0.586091    0.082476
   23        0.048671   0.584491   0.586272   0.586866    0.082476
   24        0.048671   0.585264   0.587047   0.587642    0.082476
   25        0.048671   0.586036   0.587823   0.588418    0.082476
   26        0.048671   0.586809   0.588597   0.589194    0.082476
   27        0.048671   0.587581   0.589372    0.58997    0.082476
   28        0.048671   0.588354   0.590148   0.590745    0.082476
   29        0.048671   0.589127   0.590922   0.591521    0.082476
   30        0.048671   0.589899   0.591697   0.592297    0.082476
   31        0.048671   0.590672   0.592473   0.593073    0.082476
   32        0.048671   0.591445   0.593247   0.593849    0.082476
   33        0.048671   0.592217   0.594022   0.594624    0.082476
     34      0.048671    0.59299   0.594798     0.5954    0.082476
     35      0.048671   0.595308   0.597122   0.597727    0.082476
     36      0.048671   0.596081   0.597897   0.598503    0.082476
     37      0.048671   0.596853   0.598673   0.599279    0.082476
     38      0.048671   0.597626   0.599447   0.600055    0.082476
     39      0.048671   0.598399   0.600222   0.600831    0.082476
     40      0.048671   0.599171   0.600998   0.601606    0.082476
     41      0.048671   0.599944   0.601772   0.602382    0.082476
     42      0.048671   0.600717   0.602547   0.603158    0.082476
     43      0.048671   0.601489   0.603323   0.603934    0.082476
     44      0.048671   0.602262   0.604097   0.604709    0.082476
     45      0.048671   0.603034   0.604872   0.605485    0.082476
     46      0.048671   0.603807   0.605647   0.606261    0.082476
     47      0.048671    0.60458   0.606422   0.607037    0.082476
     48      0.048671   0.605352   0.607197   0.607813    0.082476
     49      0.048671   0.606125   0.607972   0.608588    0.082476
     50      0.048671   0.606898   0.608747   0.609364    0.082476
     51      0.048671    0.60767   0.609522    0.61014    0.082476
     52      0.048671   0.608443   0.610297   0.610916    0.082476
     53      0.048671   0.609216   0.611072   0.611692    0.082476
     54      0.048671   0.609988   0.611848   0.612467    0.082476
     55      0.048671   0.610761   0.612622   0.613243    0.082476
     56      0.048671   0.611534   0.613397   0.614019    0.082476
     57      0.048671   0.612306   0.614173   0.614795    0.082476
     58      0.048671   0.613079   0.614947    0.61557    0.082476
     59      0.048671   0.613852   0.615722   0.616346    0.082476
     60      0.048671   0.614624   0.616498   0.617122    0.082476
     61      0.048671   0.615397   0.617272   0.617898    0.082476
     62      0.048671    0.61617   0.618047   0.618674    0.082476
     63      0.048671   0.616942   0.618823   0.619449    0.082476
     64      0.048671   0.617715   0.619597   0.620225    0.082476
     65      0.048671   0.618487   0.620372   0.621001    0.082476
     66      0.048671    0.61926   0.621148   0.621777    0.082476
     67      0.048671   0.620033   0.621922   0.622553    0.082476
     68      0.048671   0.620805   0.622697   0.623328    0.082476


#Row07          L (m)     RH (m)     RM (m)     RP (m)    Width (m)
    1        0.044087    0.62968   0.631417   0.631997    0.077572
    2        0.044087   0.630453   0.632193   0.632773    0.077572
    3        0.044087   0.631225   0.632967   0.633548    0.077572
    4        0.044087   0.631998   0.633742   0.634324    0.077572
    5        0.044087   0.632771   0.634518     0.6351    0.077572
    6        0.044087   0.633544   0.635292   0.635875    0.077572
    7        0.044087   0.634317   0.636067   0.636651    0.077572
    8        0.044087    0.63509   0.636843   0.637427    0.077572
    9        0.044087   0.635863   0.637617   0.638203    0.077572
   10        0.044087   0.636636   0.638392   0.638978    0.077572
   11        0.044087   0.637408   0.639168   0.639754    0.077572
     12      0.044087   0.638181   0.639942    0.64053   0.077572
     13      0.044087   0.638954   0.640717   0.641305   0.077572
     14      0.044087   0.639727   0.641492   0.642081   0.077572
     15      0.044087     0.6405   0.642267   0.642857   0.077572
     16      0.044087   0.641273   0.643042   0.643632   0.077572
     17      0.044087   0.642046   0.643817   0.644408   0.077572
     18      0.044087   0.642819   0.644592   0.645184   0.077572
     19      0.044087   0.643591   0.645368    0.64596   0.077572
     20      0.044087   0.644364   0.646142   0.646735   0.077572
     21      0.044087   0.645137   0.646917   0.647511   0.077572
     22      0.044087    0.64591   0.647693   0.648287   0.077572
     23      0.044087   0.646683   0.648467   0.649063   0.077572
     24      0.044087   0.647456   0.649242   0.649838   0.077572
     25      0.044087   0.648229   0.650018   0.650614   0.077572
     26      0.044087   0.649002   0.650792    0.65139   0.077572
     27      0.044087   0.649774   0.651567   0.652165   0.077572
     28      0.044087   0.650547   0.652343   0.652941   0.077572
     29      0.044087    0.65132   0.653117   0.653717   0.077572
     30      0.044087   0.652093   0.653892   0.654492   0.077572
     31      0.044087   0.652866   0.654668   0.655268   0.077572
     32      0.044087   0.653639   0.655442   0.656044   0.077572
     33      0.044087   0.654412   0.656217    0.65682   0.077572
     34      0.044087   0.655185   0.656993   0.657595   0.077572
     35      0.044087   0.657503   0.659317   0.659922   0.077572
     36      0.044087   0.658276   0.660092   0.660698   0.077572
     37      0.044087   0.659049   0.660868   0.661474   0.077572
     38      0.044087   0.659822   0.661642    0.66225   0.077572
     39      0.044087   0.660595   0.662417   0.663025   0.077572
     40      0.044087   0.661367   0.663193   0.663801   0.077572
     41      0.044087    0.66214   0.663967   0.664577   0.077572
     42      0.044087   0.662913   0.664742   0.665352   0.077572
     43      0.044087   0.663686   0.665518   0.666128   0.077572
     44      0.044087   0.664459   0.666292   0.666904   0.077572
     45      0.044087   0.665232   0.667067    0.66768   0.077572
     46      0.044087   0.666005   0.667843   0.668455   0.077572
     47      0.044087   0.666778   0.668617   0.669231   0.077572
     48      0.044087    0.66755   0.669392   0.670007   0.077572
     49      0.044087   0.668323   0.670168   0.670782   0.077572
     50      0.044087   0.669096   0.670942   0.671558   0.077572
     51      0.044087   0.669869   0.671718   0.672334   0.077572
     52      0.044087   0.670642   0.672492    0.67311   0.077572
     53      0.044087   0.671415   0.673267   0.673885   0.077572
     54      0.044087   0.672188   0.674042   0.674661   0.077572
     55      0.044087   0.672961   0.674817   0.675437   0.077572
     56      0.044087   0.673733   0.675592   0.676212   0.077572
     57      0.044087   0.674506   0.676368   0.676988   0.077572
     58      0.044087   0.675279   0.677142   0.677764   0.077572
     59      0.044087   0.676052   0.677917   0.678539   0.077572
     60      0.044087   0.676825   0.678693   0.679315   0.077572
     61      0.044087   0.677598   0.679467   0.680091    0.077572
     62      0.044087   0.678371   0.680242   0.680867    0.077572
     63      0.044087   0.679144   0.681018   0.681642    0.077572
     64      0.044087   0.679916   0.681792   0.682418    0.077572
     65      0.044087   0.680689   0.682567   0.683194    0.077572
     66      0.044087   0.681462   0.683343   0.683969    0.077572
     67      0.044087   0.682235   0.684117   0.684745    0.077572
     68      0.044087   0.683008   0.684892   0.685521    0.077572


#Row08          L (m)     RH (m)     RM (m)     RP (m)    Width (m)
    1        0.040294   0.691868   0.693612   0.694194    0.086892
    2        0.040294   0.692641   0.694388    0.69497    0.086892
    3        0.040294   0.693414   0.695162   0.695745    0.086892
    4        0.040294   0.694187   0.695937   0.696521    0.086892
    5        0.040294    0.69496   0.696713   0.697297    0.086892
    6        0.040294   0.695733   0.697487   0.698072    0.086892
    7        0.040294   0.696507   0.698262   0.698848    0.086892
    8        0.040294    0.69728   0.699038   0.699624    0.086892
    9        0.040294   0.698053   0.699812   0.700399    0.086892
   10        0.040294   0.698826   0.700587   0.701175    0.086892
